target,targetTxHash,targetTxGasPrice,targetTxGasAmount,estimatedNetProfit,estimatedGrossProfit,ourTxHash,ourTxGasPrice,ourTxGasAmount,actualGrossProfit,actualNetProfit,gasCost
"0x288591f6c02EEc963F4d954F3D555f34fc179bCD","0x50fcc97b110a23323f8eed9689515761c5d95dfe411188785ab5c7f70bc19d79","160845308900","2797789",6.517886314009463,6.857348220009103,"0x1aaa30f86e1a9716cf3d2da39a1682cff4440996852b62ffe7507310678b5f82","183845308900","2278297",6.857348220009103,6.4384940042781595,2278297
"0x5aB69dC565327EA582FA74F6bC755a4412F61196","0x36f7fdf20e1e743f3c622c648a431633bf01cf0ebc46f776d7e4c91e3d9187b1","169520177124","9944349",1.611383269517573,2.8697690749480524,"0x66fa66502d7615106ccb6e929b1907fcd562fcc6d0d84a2520750f303c34ee27","192520177124","6713827",2.8697690749480524,1.577221911728159,6713827
"0xB44bA04910505A1d7A509D50e6BBe418f3A3872B","0x160c044e16552d00b47d6371ff21a543c442f0d8bc50d849d8bdaaad1f1bf987","128568751739","237172",2.9038960371319824,2.9313098225527603,"0x22d4f438eb44893d48ebcc75cbb6341b53e7575feea66aa4a856009411e010c1","151568751739","495374",2.9313098225527603,2.8562266037288047,495374
